Country,Cost of Living Index,Rent Index
Egypt,30.1,5.97
Morocco,36.85,9.72
South Africa,41.69,15.94
Tunisia,29.5,5.77
Algeria,28.31,5.01
Zimbabwe,51.52,9.44
Mozambique,35.89,15.12
Ivory Coast,54.61,20.26
Kenya,36.3,9.17
Botswana,40.41,10.74
Japan,87.77,28.03
Israel,86.63,31.9
Singapore,85.59,64.77
South Korea,81.2,22.91
Hong Kong,79.94,74.24
Lebanon,75.88,24.08
Macau,69.6,44.39
Taiwan,65.25,17.92
Qatar,64.23,46.59
Cyprus,64.05,22.7
United Arab Emirates,61.67,40.62
Bahrain,57.7,29.53
Palestine,55.88,9.98
Jordan,52.17,9.69
Yemen,51.46,6.21
Oman,50.18,17.32
Saudi Arabia,49.95,11.64
Kuwait,49.4,31.43
Brunei,49.35,23.44
Thailand,49.32,16.33
Cambodia,47.91,14.56
China,42.54,16.42
Iran,41.34,17.88
Philippines,40.65,10.41
Malaysia,39.51,10.77
Myanmar,38.06,21.71
Vietnam,38.05,14.16
Indonesia,37.44,10.29
Bangladesh,33.31,4.9
Mongolia,33.17,9.91
Iraq,32.72,9.76
Armenia,31.68,10.36
Turkey,31.48,6.1
Sri Lanka,31.28,8.54
Azerbaijan,30.9,9.02
Kazakhstan,29.76,9.31
Syria,29.03,5.68
Nepal,28.86,4.54
Georgia,28.05,9.42
Uzbekistan,27.12,8.06
Afghanistan,26.33,3.85
India,25.16,5.77
Switzerland,131.75,55.05
Norway,106.09,36.18
Iceland,96.77,43.17
Denmark,91.67,36.18
Luxembourg,88.28,61.62
Ireland,83.11,45.42
France,80.62,27.79
Sweden,79.17,28.08
Netherlands,78.64,39.31
Belgium,78.52,26.84
Finland,77.46,28.04
Austria,75.49,28.42
Malta,73.61,32.96
Italy,73.11,22.91
United Kingdom,71.03,31.61
Germany,70.62,29.64
Greece,60.96,13.05
Slovenia,59.38,18.88
Spain,59.09,23.59
Estonia,56.45,16.27
Croatia,56.36,14.94
Portugal,52.88,22.31
Latvia,52.87,13.17
Czech Republic,49.18,19.81
Slovakia,49.08,17.43
Lithuania,47.66,14.63
Hungary,42.75,12.75
Poland,42.04,18.09
Montenegro,41.43,11.75
Bulgaria,40.92,9.88
Albania,40.25,9.21
Serbia,39.19,9.83
Bosnia And Herzegovina,38.56,7.13
Romania,38.5,10.76
North Macedonia,34.15,6.72
Russia,33.17,9.77
Moldova,32.68,8.65
Belarus,30.69,9.19
Kosovo (Disputed Territory),29.4,8.8
Ukraine,29.21,8.74
Bermuda,145.07,92.86
Bahamas,85.85,34.54
Barbados,81.49,21.09
United States,71.92,41.14
Canada,70.08,32.48
Puerto Rico,69.51,19.42
Cuba,55.54,14.89
Trinidad And Tobago,55.48,16.44
Panama,54.07,22.58
Jamaica,53.16,15.93
Belize,52.45,11.56
Suriname,51.86,10.42
Uruguay,51.09,13.56
Costa Rica,50.64,14.52
Chile,49.33,14.66
Guatemala,44.76,15.24
El Salvador,44.57,13.33
Nicaragua,42.77,7.99
Honduras,42.2,10.63
Dominican Republic,41.54,9.81
Ecuador,40.08,12.03
Argentina,37.87,8.49
Peru,36.26,12.25
Bolivia,36.11,10.76
Mexico,35.05,11.62
Brazil,31.82,8.12
Colombia,31,9.96
Paraguay,30.72,9.77
